Year,GLACNAME,num,AREA
1966,Agassiz Glacier,1,1600559.73
1966,Ahern Glacier,2,589185.63
1966,Baby Glacier,3,117171.13
1966,Blackfoot Glacier,4,1832451.35
1966,Boulder Glacier,5,231017.73
1966,Carter Glacier,6,355743.44
1966,Chaney Glacier,7,563819.03
1966,Dixon Glacier,8,291142.05
1966,Gem Glacier,9,29140.12
1966,Grant Glacier,10,347753.17
1966,Grinnell Glacier,11,1020200.3
1966,Harris Glacier,12,148501.6
1966,Harrison Glacier,13,2059376.84
1966,Herbst Glacier,14,170234.16
1966,Hudson Glacier,15,90213.45
1966,Ipasha Glacier,16,328608.6
1966,Jackson Glacier,17,1280508.2
1966,Kintla Glacier,18,1309016.2
1966,Logan Glacier,19,503361.09
1966,Lupfer Glacier,20,126375.83
1966,Miche Wabun Glacier,21,204468.79
1966,N. Swiftcurrent Glacier,22,116675.97
1966,Old Sun Glacier,23,421347.41
1966,Piegan Glacier,24,280151.62
1966,Pumpelly Glacier,25,1006469.53
1966,Rainbow Glacier,26,1430411.36
1966,Red Eagle Glacier,27,134709.82
1966,Salamander Glacier,28,229028.19
1966,Sexton Glacier,29,400493.53
1966,Shepard Glacier,30,250678.82
1966,Siyeh Glacier,31,306295.75
1966,Sperry Glacier,32,1339531.54
1966,Stanton Glacier,33,532357.36
1966,Swiftcurrent Glacier,34,221786
1966,Thunderbird Glacier,35,135074.71
1966,Two Ocean Glacier,36,429001.73
1966,Vulture Glacier,37,408034.38
1966,Weasel Collar Glacier,38,558088.21
1966,Whitecrow Glacier,39,242488.01
1998,Agassiz Glacier,1,1174485.68
1998,Ahern Glacier,2,516658.66
1998,Baby Glacier,3,80880.38
1998,Blackfoot Glacier,4,1625124.3
1998,Boulder Glacier,5,48774.13
1998,Carter Glacier,6,269013.88
1998,Chaney Glacier,7,430372.02
1998,Dixon Glacier,8,166983.6
1998,Gem Glacier,9,23756.51
1998,Grant Glacier,10,288223.64
1998,Grinnell Glacier,11,715907.79
1998,Harris Glacier,12,40263.73
1998,Harrison Glacier,13,1846232.5
1998,Herbst Glacier,14,50794.78
1998,Hudson Glacier,15,55762.11
1998,Ipasha Glacier,16,228254.45
1998,Jackson Glacier,17,811857.45
1998,Kintla Glacier,18,972884.73
1998,Logan Glacier,19,387547.07
1998,Lupfer Glacier,20,66661.16
1998,Miche Wabun Glacier,21,111127.26
1998,N. Swiftcurrent Glacier,22,84546.1
1998,Old Sun Glacier,23,349137.54
1998,Piegan Glacier,24,265084.78
1998,Pumpelly Glacier,25,910631.86
1998,Rainbow Glacier,26,1120814.92
1998,Red Eagle Glacier,27,77923.58
1998,Salamander Glacier,28,181688.65
1998,Sexton Glacier,29,324011.87
1998,Shepard Glacier,30,91584.19
1998,Siyeh Glacier,31,214597.44
1998,Sperry Glacier,32,953104.43
1998,Stanton Glacier,33,315177.77
1998,Swiftcurrent Glacier,34,188681.39
1998,Thunderbird Glacier,35,121885.69
1998,Two Ocean Glacier,36,193677.91
1998,Vulture Glacier,37,336924.77
1998,Weasel Collar Glacier,38,507418.42
1998,Whitecrow Glacier,39,124759.84
2005,Agassiz Glacier,1,1039612.34
2005,Ahern Glacier,2,511939.47
2005,Baby Glacier,3,76006.47
2005,Blackfoot Glacier,4,1630173.41
