NUM,YEAR,PPTIN,TMINF,TMEANF,TMAXF
1,1966,95.29,25.21,33.78,42.33
1,1967,101.3,25.47,34.2,42.92
1,1968,99.11,24.61,32.92,41.22
1,1969,75.36,24.73,33.45,42.15
1,1970,111.0,24.18,32.93,41.66
1,1971,101.11,23.85,32.34,40.87
1,1972,99.63,23.02,31.61,40.16
1,1973,87.4,24.68,33.39,42.08
1,1974,122.09,25.29,33.59,41.9
1,1975,115.71,23.05,31.13,39.23
1,1976,78.78,26.13,34.52,42.86
1,1977,73.13,24.22,32.79,41.4
1,1978,73.26,24.33,32.64,40.99
1,1979,62.72,24.88,33.86,42.83
1,1980,83.17,25.54,34.07,42.61
1,1981,67.63,26.56,35.01,43.42
1,1982,76.36,22.43,31.03,39.63
1,1983,64.4,25.24,33.72,42.22
1,1984,74.54,24.57,33.01,41.43
1,1985,66.13,22.41,30.82,39.19
1,1986,81.24,26.11,34.48,42.84
1,1987,59.3,27.08,35.89,44.69
1,1988,63.39,26.48,35.37,44.23
1,1989,86.35,23.45,31.78,40.09
1,1990,100.88,24.05,32.61,41.15
1,1991,76.65,24.58,33.48,42.38
1,1992,63.85,25.73,34.62,43.54
1,1993,65.51,23.38,31.89,40.39
1,1994,72.82,25.06,34.11,43.13
1,1995,95.93,24.11,32.73,41.36
1,1996,94.6,21.77,30.67,39.57
1,1997,79.32,24.67,33.2,41.75
1,1998,73.25,26.36,35.24,44.17
1,1999,81.81,26.07,34.19,42.31
1,2000,59.83,24.84,33.32,41.84
1,2001,58.03,25.81,34.37,42.93
1,2002,83.04,24.34,32.69,41.03
1,2003,69.23,26.44,35.42,44.4
1,2004,73.07,26.82,35.19,43.59
1,2005,70.44,25.81,34.48,43.16
1,2006,81.48,27.05,35.88,44.71
1,2007,67.77,26.43,35.35,44.28
1,2008,69.69,24.54,33.59,42.67
1,2009,65.17,24.3,33.45,42.58
1,2010,73.43,26.17,34.69,43.18
1,2011,89.47,24.74,33.48,42.15
1,2012,103.39,26.96,35.61,44.28
1,2013,73.09,26.32,35.11,43.88
1,2014,80.49,25.82,34.48,43.16
1,2015,62.38,28.26,37.12,45.96
