NUM,YEAR,MONTH,DATE,PPIN,TMINF,TMEANF,TMAXF
1,1966,1,1966-01,16.46,6.7,12.7,18.6
1,1966,2,1966-02,7.59,10.9,18,25.1
1,1966,3,1966-03,9.41,16,24.3,32.6
1,1966,4,1966-04,5.54,19.3,28.7,38.1
1,1966,5,1966-05,4.54,32,42.5,53
1,1966,6,1966-06,8.73,34.1,43.7,53.4
1,1966,7,1966-07,2.95,43.1,54.2,65.3
1,1966,8,1966-08,2.9,40.1,51.6,63.1
1,1966,9,1966-09,0.97,40.6,51.1,61.5
1,1966,10,1966-10,6.1,27.4,34.7,42
1,1966,11,1966-11,16.7,17,23.1,29.2
1,1966,12,1966-12,13.4,15.3,20.7,26.1
1,1967,1,1967-01,22.78,11.8,17.8,23.7
1,1967,2,1967-02,13.01,14.5,21.1,27.8
1,1967,3,1967-03,9.11,11.3,18.8,26.4
1,1967,4,1967-04,8.31,18.4,26.5,34.7
1,1967,5,1967-05,3.94,27.8,37.8,47.7
1,1967,6,1967-06,6.22,35.5,45.8,56.1
1,1967,7,1967-07,0.4,43.4,55.9,68.4
1,1967,8,1967-08,0.53,45.1,58.2,71.2
1,1967,9,1967-09,1.35,41.8,53.9,65.9
1,1967,10,1967-10,15.09,28.3,35.1,42
1,1967,11,1967-11,7.53,18.9,24.9,30.9
1,1967,12,1967-12,13.03,8.9,14.6,20.2
1,1968,1,1968-01,13.24,8.8,15.1,21.3
1,1968,2,1968-02,10.78,18,25.3,32.5
1,1968,3,1968-03,7.6,20.6,28.6,36.6
1,1968,4,1968-04,5.1,18.9,27.7,36.6
1,1968,5,1968-05,6.05,27.9,38.1,48.3
1,1968,6,1968-06,6.93,34.3,44.3,54.3
1,1968,7,1968-07,2.4,42,53.3,64.7
1,1968,8,1968-08,3.72,39.2,49.5,59.8
1,1968,9,1968-09,8.9,35.7,44.8,53.9
1,1968,10,1968-10,11.96,27.2,33.8,40.4
1,1968,11,1968-11,6.95,18.4,24.1,29.8
1,1968,12,1968-12,15.48,4.3,10.4,16.5
1,1969,1,1969-01,25.1,-3.6,3.2,9.9
1,1969,2,1969-02,3.16,9.8,17.2,24.6
1,1969,3,1969-03,4.6,14.5,23.4,32.4
1,1969,4,1969-04,3.96,27.1,36.2,45.2
1,1969,5,1969-05,3.6,31.8,42.5,53.2
1,1969,6,1969-06,14.06,37.3,47,56.7
1,1969,7,1969-07,0.51,40,51.6,63.2
1,1969,8,1969-08,0.02,42.5,55,67.5
1,1969,9,1969-09,4.3,36.7,46.9,57.1
1,1969,10,1969-10,4.6,23.7,30.2,36.6
1,1969,11,1969-11,3.9,21.6,27.6,33.5
1,1969,12,1969-12,7.55,15.4,20.6,25.9
1,1970,1,1970-01,20.23,5.5,11.9,18.3
1,1970,2,1970-02,11.64,17.1,24,30.9
1,1970,3,1970-03,8.51,11.8,20,28.3
1,1970,4,1970-04,10.73,17.2,25.1,33.1
1,1970,5,1970-05,3.49,30,40.5,50.9
1,1970,6,1970-06,9.49,41.5,52.1,62.7
1,1970,7,1970-07,2.1,44.8,56.2,67.6
1,1970,8,1970-08,1.14,43.5,56.3,69
1,1970,9,1970-09,3.58,30.7,40.4,50
1,1970,10,1970-10,4.96,25.5,33,40.5
1,1970,11,1970-11,12.05,15.3,22.1,28.9
1,1970,12,1970-12,23.08,7.3,13.5,19.7
1,1971,1,1971-01,24.57,5.7,12,18.3
1,1971,2,1971-02,9.97,13.4,20.1,26.9
1,1971,3,1971-03,9.59,11.4,19.1,26.8
1,1971,4,1971-04,4.68,22.5,31.3,40.2
1,1971,5,1971-05,4.57,31.1,41.7,52.4
1,1971,6,1971-06,5.6,34.6,44.1,53.7
1,1971,7,1971-07,3.12,40.5,52.1,63.8
1,1971,8,1971-08,2.2,48.4,60.3,72.1
1,1971,9,1971-09,3.61,30.9,40.3,49.7
1,1971,10,1971-10,6.45,25.7,32.9,40.2
1,1971,11,1971-11,8.68,17.6,23.2,28.8
1,1971,12,1971-12,18.07,4.4,11,17.5
1,1972,1,1972-01,24.09,0.2,7.3,14.4
1,1972,2,1972-02,19.51,10.8,17.7,24.5
1,1972,3,1972-03,9.11,17.8,25.9,33.9
1,1972,4,1972-04,5.88,19.6,28.5,37.4
1,1972,5,1972-05,5.63,29.9,39.9,50
1,1972,6,1972-06,2.23,37,47.7,58.3
1,1972,7,1972-07,5.55,38.7,49.6,60.4
1,1972,8,1972-08,4.51,44.5,56.2,67.9
1,1972,9,1972-09,4.65,28.6,38.2,47.7
1,1972,10,1972-10,3.75,26.1,33.9,41.6
1,1972,11,1972-11,2.49,18.3,23.7,29.1
1,1972,12,1972-12,12.23,4.7,10.7,16.7
1,1973,1,1973-01,10.3,7.1,13.7,20.3
1,1973,2,1973-02,4.41,13.4,20.9,28.4
1,1973,3,1973-03,4.22,17.1,25.2,33.2
1,1973,4,1973-04,5.09,19.5,29.3,39
1,1973,5,1973-05,3.58,29.2,40.5,51.7
1,1973,6,1973-06,4.02,35.7,46,56.4
1,1973,7,1973-07,0.38,41.7,54.3,66.8
1,1973,8,1973-08,2.07,42.8,54.6,66.4
1,1973,9,1973-09,4.77,35,44.9,54.8
1,1973,10,1973-10,6.69,27.8,34.5,41.1
1,1973,11,1973-11,24.79,12.5,17.5,22.6
1,1973,12,1973-12,17.08,14.3,19.3,24.3
1,1974,1,1974-01,33.84,3.6,9.7,15.8
1,1974,2,1974-02,16.56,14.3,20.3,26.3
1,1974,3,1974-03,16.24,12.4,20.5,28.7
1,1974,4,1974-04,6.68,24.7,33.1,41.5
1,1974,5,1974-05,5.74,26.4,35.2,44.1
1,1974,6,1974-06,3.81,39.6,50.6,61.5
1,1974,7,1974-07,1.59,43.7,54.2,64.6
1,1974,8,1974-08,3.54,38.3,49.2,60.1
1,1974,9,1974-09,2.96,34.5,44.9,55.4
1,1974,10,1974-10,0.41,30.8,39.4,48.1
1,1974,11,1974-11,17.42,20.4,25.9,31.3
1,1974,12,1974-12,13.3,14.8,20.1,25.4
1,1975,1,1975-01,17.97,5.5,12,18.5
1,1975,2,1975-02,18.64,5.6,13.3,20.9
1,1975,3,1975-03,8.8,10.8,18.2,25.6
1,1975,4,1975-04,1.54,17,24.9,32.8
1,1975,5,1975-05,8.74,27.3,36.5,45.6
1,1975,6,1975-06,14.41,33.7,43.2,52.8
1,1975,7,1975-07,4.11,47.1,57.8,68.5
1,1975,8,1975-08,3.93,37.8,47.4,57.1
1,1975,9,1975-09,1.94,35.1,46,57
1,1975,10,1975-10,10.34,26.4,32.5,38.6
1,1975,11,1975-11,9.79,15.7,21.6,27.5
1,1975,12,1975-12,15.5,14.6,20.2,25.9
1,1976,1,1976-01,15.63,11.5,17.7,23.9
1,1976,2,1976-02,19.25,13.5,19.8,26.1
1,1976,3,1976-03,5.88,11.1,19.2,27.3
1,1976,4,1976-04,4.46,24.3,33,41.7
1,1976,5,1976-05,3.03,31.7,42.6,53.4
1,1976,6,1976-06,5.87,33.1,42.3,51.4
1,1976,7,1976-07,3.33,42.9,53.6,64.3
1,1976,8,1976-08,3.68,41.8,51.4,61
1,1976,9,1976-09,1.6,39,49.4,59.8
1,1976,10,1976-10,2.53,27.3,35.6,43.8
1,1976,11,1976-11,6.66,21.1,27.4,33.6
1,1976,12,1976-12,6.86,16.3,22.2,28
1,1977,1,1977-01,5.94,8.2,14.2,20.3
1,1977,2,1977-02,5.82,18.6,25.6,32.5
1,1977,3,1977-03,7,13.6,21.2,28.9
1,1977,4,1977-04,0.9,24.9,35.1,45.4
1,1977,5,1977-05,3.6,29.2,38.5,47.8
1,1977,6,1977-06,1.16,38.1,49.7,61.3
1,1977,7,1977-07,4.28,40.3,51.2,62.2
1,1977,8,1977-08,6.18,39.7,49.9,60.2
1,1977,9,1977-09,3.7,32.6,41.8,50.9
1,1977,10,1977-10,3.23,26.5,34.6,42.8
1,1977,11,1977-11,12.23,12.8,18.7,24.6
1,1977,12,1977-12,19.09,6.2,13,19.9
1,1978,1,1978-01,12.3,8.1,14.4,20.7
1,1978,2,1978-02,5.58,12.9,19.9,26.9
1,1978,3,1978-03,3.36,18.5,26.9,35.4
1,1978,4,1978-04,4.95,23,31.1,39.3
1,1978,5,1978-05,7.3,28.4,36.7,45.1
1,1978,6,1978-06,5,37.2,47.6,58
1,1978,7,1978-07,6.64,42.7,53,63.4
1,1978,8,1978-08,4.68,40.4,50.3,60.2
1,1978,9,1978-09,4.23,36.1,44.8,53.5
1,1978,10,1978-10,2.31,28.4,37.5,46.6
1,1978,11,1978-11,7.57,13.9,20.6,27.3
1,1978,12,1978-12,9.34,2.4,8.9,15.5
1,1979,1,1979-01,4.53,-2.6,4.5,11.7
1,1979,2,1979-02,14.53,7.9,15.3,22.7
1,1979,3,1979-03,4.68,16.8,25.8,34.7
1,1979,4,1979-04,6.47,20.3,29.4,38.4
1,1979,5,1979-05,4.12,28.2,38.8,49.5
1,1979,6,1979-06,2.71,37.6,48,58.4
1,1979,7,1979-07,1.9,43.9,55.1,66.3
1,1979,8,1979-08,1.71,43.4,55.1,66.8
1,1979,9,1979-09,1.24,39.4,50.2,61
1,1979,10,1979-10,4.5,29.7,38,46.3
1,1979,11,1979-11,2.06,16.4,22.8,29.1
1,1979,12,1979-12,14.27,17.5,23.3,29.1
1,1980,1,1980-01,7.73,1.8,8.9,16
1,1980,2,1980-02,5.4,15.2,22.2,29.3
1,1980,3,1980-03,9.67,12.9,20.8,28.6
1,1980,4,1980-04,5.08,27,36.5,46.1
1,1980,5,1980-05,7.71,33.1,43.4,53.7
1,1980,6,1980-06,6.09,36.1,46,56
1,1980,7,1980-07,1.9,42.2,53.3,64.5
1,1980,8,1980-08,4.96,36.9,47.2,57.4
1,1980,9,1980-09,5.43,35.6,44.7,53.8
1,1980,10,1980-10,3.14,30.2,38.4,46.5
1,1980,11,1980-11,9.36,20.7,26.7,32.6
1,1980,12,1980-12,16.7,14.8,20.8,26.8
1,1981,1,1981-01,1.94,19.2,25.1,30.9
1,1981,2,1981-02,8.7,14.4,21.3,28.1
1,1981,3,1981-03,4.42,19.6,28.7,37.8
1,1981,4,1981-04,8.7,22.2,30.9,39.7
1,1981,5,1981-05,6.71,31.1,40.3,49.4
1,1981,6,1981-06,11.94,32.3,41.3,50.3
1,1981,7,1981-07,4.75,41.2,51.6,61.9
1,1981,8,1981-08,0.59,45.5,57.2,69
1,1981,9,1981-09,2.2,36.6,47,57.3
1,1981,10,1981-10,3.14,25.1,32.9,40.7
1,1981,11,1981-11,5.56,22.6,28.8,35
1,1981,12,1981-12,8.98,8.9,15,21
1,1982,1,1982-01,12.57,1.6,8.6,15.7
1,1982,2,1982-02,10.86,7.1,14,20.9
1,1982,3,1982-03,7.49,13.4,21.7,30.1
1,1982,4,1982-04,7.94,17.2,25.9,34.5
1,1982,5,1982-05,4.89,26.9,37.5,48
1,1982,6,1982-06,3.13,37.8,48,58.2
1,1982,7,1982-07,4.54,41,51.4,61.9
1,1982,8,1982-08,1.28,41.2,52.5,63.8
1,1982,9,1982-09,3.56,34.6,44.1,53.7
1,1982,10,1982-10,4.1,26.4,34.3,42.1
1,1982,11,1982-11,7.17,12.3,18.8,25.2
1,1982,12,1982-12,8.83,9.7,15.6,21.5
