NUM,YEAR,PPTIN,TMINF,TMEANF,TMAXF
1,1966,95.29,25.21,33.78,42.33
1,1967,101.3,25.47,34.2,42.92
1,1968,99.11,24.61,32.92,41.22
1,1969,75.36,24.73,33.45,42.15
1,1970,111.0,24.18,32.93,41.66
1,1971,101.11,23.85,32.34,40.87
1,1972,99.63,23.02,31.61,40.16
1,1973,87.4,24.68,33.39,42.08
1,1974,122.09,25.29,33.59,41.9
1,1975,115.71,23.05,31.13,39.23
1,1976,78.78,26.13,34.52,42.86
1,1977,73.13,24.22,32.79,41.4
1,1978,73.26,24.33,32.64,40.99
1,1979,62.72,24.88,33.86,42.83
1,1980,83.17,25.54,34.07,42.61
1,1981,67.63,26.56,35.01,43.42
1,1982,76.36,22.43,31.03,39.63
1,1983,64.4,25.24,33.72,42.22
1,1984,74.54,24.57,33.01,41.43
1,1985,66.13,22.41,30.82,39.19
1,1986,81.24,26.11,34.48,42.84
1,1987,59.3,27.08,35.89,44.69
1,1988,63.39,26.48,35.37,44.23
1,1989,86.35,23.45,31.78,40.09
1,1990,100.88,24.05,32.61,41.15
1,1991,76.65,24.58,33.48,42.38
1,1992,63.85,25.73,34.62,43.54
1,1993,65.51,23.38,31.89,40.39
1,1994,72.82,25.06,34.11,43.13
1,1995,95.93,24.11,32.73,41.36
1,1996,94.6,21.77,30.67,39.57
1,1997,79.32,24.67,33.2,41.75
1,1998,73.25,26.36,35.24,44.17
1,1999,81.81,26.07,34.19,42.31
1,2000,59.83,24.84,33.32,41.84
1,2001,58.03,25.81,34.37,42.93
1,2002,83.04,24.34,32.69,41.03
1,2003,69.23,26.44,35.42,44.4
1,2004,73.07,26.82,35.19,43.59
1,2005,70.44,25.81,34.48,43.16
1,2006,81.48,27.05,35.88,44.71
1,2007,67.77,26.43,35.35,44.28
1,2008,69.69,24.54,33.59,42.67
1,2009,65.17,24.3,33.45,42.58
1,2010,73.43,26.17,34.69,43.18
1,2011,89.47,24.74,33.48,42.15
1,2012,103.39,26.96,35.61,44.28
1,2013,73.09,26.32,35.11,43.88
1,2014,80.49,25.82,34.48,43.16
1,2015,62.38,28.26,37.12,45.96
2,1966,92.53,24.42,33.0,41.58
2,1967,91.72,24.42,33.16,41.89
2,1968,83.9,23.73,31.95,40.18
2,1969,66.47,24.28,32.8,41.34
2,1970,98.99,23.52,32.23,40.94
2,1971,86.13,23.08,31.53,39.98
2,1972,89.38,22.21,30.83,39.46
2,1973,75.85,23.98,32.68,41.36
2,1974,111.32,24.51,32.87,41.22
2,1975,109.5,22.23,30.28,38.36
2,1976,75.73,25.73,34.07,42.42
2,1977,71.6,23.79,32.32,40.88
2,1978,67.26,23.82,32.08,40.39
2,1979,55.72,24.29,33.31,42.32
2,1980,76.58,24.98,33.72,42.46
2,1981,59.05,25.97,34.56,43.15
2,1982,75.75,21.61,30.3,39.01
2,1983,57.36,24.6,33.17,41.73
2,1984,72.05,23.77,32.32,40.88
2,1985,62.55,21.29,29.71,38.1
2,1986,74.01,24.94,33.38,41.82
2,1987,54.52,26.03,34.86,43.68
2,1988,59.99,25.42,34.43,43.46
2,1989,84.16,22.2,30.5,38.81
2,1990,95.24,22.97,31.52,40.05
2,1991,65.46,23.42,32.42,41.47
2,1992,62.64,24.64,33.63,42.61
2,1993,61.44,22.34,30.87,39.38
2,1994,69.53,24.1,33.21,42.29
2,1995,89.96,23.02,31.77,40.46
2,1996,85.11,20.57,29.72,38.86
2,1997,72.39,23.68,32.34,40.99
2,1998,67.76,25.58,34.58,43.58
2,1999,76.34,25.47,33.48,41.48
2,2000,56.73,24.24,32.58,40.94
2,2001,55.67,25.15,33.6,42.05
2,2002,78.2,23.27,31.72,40.18
2,2003,63.5,25.5,34.44,43.41
2,2004,68.08,25.87,34.18,42.49
2,2005,63.4,24.73,33.57,42.41
2,2006,78.69,26.12,35.33,44.56
2,2007,63.11,25.65,34.78,43.9
2,2008,66.68,23.87,33.07,42.26
2,2009,64.21,23.57,32.83,42.11
2,2010,67.3,25.54,34.21,42.86
2,2011,80.98,24.07,32.92,41.78
2,2012,92.49,26.37,35.12,43.87
2,2013,66.99,25.47,34.32,43.22
2,2014,78.01,24.9,33.61,42.32
2,2015,59.12,27.29,36.05,44.82
3,1966,91.46,25.43,34.32,43.22
3,1967,96.67,25.72,34.78,43.83
3,1968,95.33,24.93,33.53,42.12
3,1969,72.43,24.99,34.0,43.01
3,1970,107.48,24.48,33.48,42.52
