PRISM Time Series Data
Locations: 39
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1971-01 - 1985-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Feb-14
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1,-114.1578,48.9339,6617.0,1971-01,24.57,5.7,12.0,18.3,9.4,0.04,1.13
1,-114.1578,48.9339,6617.0,1971-02,9.97,13.4,20.1,26.9,11.0,0.39,2.46
1,-114.1578,48.9339,6617.0,1971-03,9.59,11.4,19.1,26.8,8.8,0.36,2.67
1,-114.1578,48.9339,6617.0,1971-04,4.68,22.5,31.3,40.2,16.5,0.96,5.49
1,-114.1578,48.9339,6617.0,1971-05,4.57,31.1,41.7,52.4,26.9,0.89,8.95
1,-114.1578,48.9339,6617.0,1971-06,5.60,34.6,44.1,53.7,29.9,1.07,8.67
1,-114.1578,48.9339,6617.0,1971-07,3.12,40.5,52.1,63.8,34.1,1.61,14.09
1,-114.1578,48.9339,6617.0,1971-08,2.20,48.4,60.3,72.1,38.1,3.30,19.77
1,-114.1578,48.9339,6617.0,1971-09,3.61,30.9,40.3,49.7,27.6,0.76,7.34
1,-114.1578,48.9339,6617.0,1971-10,6.45,25.7,32.9,40.2,21.7,0.78,4.62
1,-114.1578,48.9339,6617.0,1971-11,8.68,17.6,23.2,28.8,15.4,0.41,2.26
1,-114.1578,48.9339,6617.0,1971-12,18.07,4.4,11.0,17.5,5.8,0.16,1.31
1,-114.1578,48.9339,6617.0,1972-01,24.09,0.2,7.3,14.4,3.8,0.04,1.10
1,-114.1578,48.9339,6617.0,1972-02,19.51,10.8,17.7,24.5,11.0,0.19,1.97
1,-114.1578,48.9339,6617.0,1972-03,9.11,17.8,25.9,33.9,15.3,0.41,3.59
1,-114.1578,48.9339,6617.0,1972-04,5.88,19.6,28.5,37.4,13.2,0.90,5.01
1,-114.1578,48.9339,6617.0,1972-05,5.63,29.9,39.9,50.0,26.1,0.76,7.69
1,-114.1578,48.9339,6617.0,1972-06,2.23,37.0,47.7,58.3,33.7,0.88,10.64
1,-114.1578,48.9339,6617.0,1972-07,5.55,38.7,49.6,60.4,34.7,1.09,11.66
1,-114.1578,48.9339,6617.0,1972-08,4.51,44.5,56.2,67.9,40.0,1.51,15.65
1,-114.1578,48.9339,6617.0,1972-09,4.65,28.6,38.2,47.7,26.7,0.47,6.67
1,-114.1578,48.9339,6617.0,1972-10,3.75,26.1,33.9,41.6,22.4,0.80,4.99
1,-114.1578,48.9339,6617.0,1972-11,2.49,18.3,23.7,29.1,17.4,0.31,2.10
1,-114.1578,48.9339,6617.0,1972-12,12.23,4.7,10.7,16.7,6.1,0.08,1.19
1,-114.1578,48.9339,6617.0,1973-01,10.30,7.1,13.7,20.3,4.3,0.40,1.83
1,-114.1578,48.9339,6617.0,1973-02,4.41,13.4,20.9,28.4,8.7,0.63,2.92
1,-114.1578,48.9339,6617.0,1973-03,4.22,17.1,25.2,33.2,11.6,0.79,3.90
1,-114.1578,48.9339,6617.0,1973-04,5.09,19.5,29.3,39.0,14.7,0.77,5.25
1,-114.1578,48.9339,6617.0,1973-05,3.58,29.2,40.5,51.7,18.2,1.88,9.96
1,-114.1578,48.9339,6617.0,1973-06,4.02,35.7,46.0,56.4,27.6,1.93,10.79
1,-114.1578,48.9339,6617.0,1973-07,0.38,41.7,54.3,66.8,31.8,2.73,16.83
1,-114.1578,48.9339,6617.0,1973-08,2.07,42.8,54.6,66.4,33.4,2.74,16.23
1,-114.1578,48.9339,6617.0,1973-09,4.77,35.0,44.9,54.8,31.3,1.09,8.95
1,-114.1578,48.9339,6617.0,1973-10,6.69,27.8,34.5,41.1,21.6,1.23,4.84
1,-114.1578,48.9339,6617.0,1973-11,24.79,12.5,17.5,22.6,14.5,0.14,1.19
1,-114.1578,48.9339,6617.0,1973-12,17.08,14.3,19.3,24.3,12.9,0.35,1.59
1,-114.1578,48.9339,6617.0,1974-01,33.84,3.6,9.7,15.8,3.4,0.22,1.33
1,-114.1578,48.9339,6617.0,1974-02,16.56,14.3,20.3,26.3,11.9,0.40,2.14
1,-114.1578,48.9339,6617.0,1974-03,16.24,12.4,20.5,28.7,10.8,0.32,2.82
1,-114.1578,48.9339,6617.0,1974-04,6.68,24.7,33.1,41.5,19.1,1.01,5.42
1,-114.1578,48.9339,6617.0,1974-05,5.74,26.4,35.2,44.1,21.3,1.04,6.07
1,-114.1578,48.9339,6617.0,1974-06,3.81,39.6,50.6,61.5,31.3,2.37,13.28
1,-114.1578,48.9339,6617.0,1974-07,1.59,43.7,54.2,64.6,36.3,2.37,13.91
1,-114.1578,48.9339,6617.0,1974-08,3.54,38.3,49.2,60.1,36.8,0.63,10.92
1,-114.1578,48.9339,6617.0,1974-09,2.96,34.5,44.9,55.4,23.8,2.36,11.00
1,-114.1578,48.9339,6617.0,1974-10,0.41,30.8,39.4,48.1,22.4,1.86,7.33
1,-114.1578,48.9339,6617.0,1974-11,17.42,20.4,25.9,31.3,12.0,1.21,3.19
1,-114.1578,48.9339,6617.0,1974-12,13.30,14.8,20.1,25.4,9.6,0.68,2.13
1,-114.1578,48.9339,6617.0,1975-01,17.97,5.5,12.0,18.5,3.2,0.37,1.63
1,-114.1578,48.9339,6617.0,1975-02,18.64,5.6,13.3,20.9,5.2,0.29,1.75
1,-114.1578,48.9339,6617.0,1975-03,8.80,10.8,18.2,25.6,8.6,0.36,2.37
1,-114.1578,48.9339,6617.0,1975-04,1.54,17.0,24.9,32.8,14.1,0.50,3.45
1,-114.1578,48.9339,6617.0,1975-05,8.74,27.3,36.5,45.6,23.9,0.77,6.13
1,-114.1578,48.9339,6617.0,1975-06,14.41,33.7,43.2,52.8,29.2,1.22,8.32
1,-114.1578,48.9339,6617.0,1975-07,4.11,47.1,57.8,68.5,40.5,2.50,15.47
1,-114.1578,48.9339,6617.0,1975-08,3.93,37.8,47.4,57.1,35.9,0.74,9.00
1,-114.1578,48.9339,6617.0,1975-09,1.94,35.1,46.0,57.0,25.9,2.17,11.38
1,-114.1578,48.9339,6617.0,1975-10,10.34,26.4,32.5,38.6,23.4,0.75,3.84
1,-114.1578,48.9339,6617.0,1975-11,9.79,15.7,21.6,27.5,7.5,1.14,3.02
1,-114.1578,48.9339,6617.0,1975-12,15.50,14.6,20.2,25.9,10.7,0.67,2.04
1,-114.1578,48.9339,6617.0,1976-01,15.63,11.5,17.7,23.9,7.0,0.61,2.20
1,-114.1578,48.9339,6617.0,1976-02,19.25,13.5,19.8,26.1,6.3,0.80,2.66
1,-114.1578,48.9339,6617.0,1976-03,5.88,11.1,19.2,27.3,7.0,0.57,2.88
