PRISM Time Series Data
Locations: 39
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 800m
Monthly 1981-2010 Normals
Dataset: Norm81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Feb-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1,-114.1578,48.9339,7602.0,January,11.28,13.1,18.9,24.6,7.5,0.95,2.50
1,-114.1578,48.9339,7602.0,February,8.27,13.1,20.1,27.2,9.8,0.50,2.66
1,-114.1578,48.9339,7602.0,March,7.74,15.9,24.4,32.8,11.4,0.84,3.93
1,-114.1578,48.9339,7602.0,April,6.95,21.0,29.2,37.4,16.9,0.88,4.65
1,-114.1578,48.9339,7602.0,May,6.25,28.2,37.0,45.7,23.7,1.53,6.68
1,-114.1578,48.9339,7602.0,June,7.18,34.2,43.1,52.0,29.4,1.98,8.34
1,-114.1578,48.9339,7602.0,July,2.89,41.7,51.4,61.0,36.2,3.48,12.00
1,-114.1578,48.9339,7602.0,August,2.52,41.6,51.2,60.8,35.7,3.53,12.15
1,-114.1578,48.9339,7602.0,September,3.94,34.9,43.3,51.8,30.0,2.17,8.34
1,-114.1578,48.9339,7602.0,October,5.34,26.5,32.6,38.7,21.2,1.40,4.28
1,-114.1578,48.9339,7602.0,November,9.21,17.6,23.1,28.6,13.2,0.86,2.57
1,-114.1578,48.9339,7602.0,December,10.12,11.8,17.3,22.9,7.4,0.65,1.98
1,-114.1578,48.9339,7602.0,Annual,81.67,25.0,32.6,40.3,20.2,1.57,5.84

2,-113.7838,48.8428,8145.0,January,8.56,11.2,17.1,23.0,7.8,0.74,2.00
2,-113.7838,48.8428,8145.0,February,6.41,11.3,18.4,25.4,8.1,0.80,2.50
2,-113.7838,48.8428,8145.0,March,6.26,14.4,22.8,31.2,11.2,0.84,3.50
2,-113.7838,48.8428,8145.0,April,5.24,19.5,27.9,36.3,17.7,0.72,4.22
2,-113.7838,48.8428,8145.0,May,5.34,27.1,35.9,44.8,24.9,0.96,6.04
2,-113.7838,48.8428,8145.0,June,6.41,33.9,42.3,50.7,29.6,1.81,7.54
2,-113.7838,48.8428,8145.0,July,2.77,42.1,50.9,59.7,35.4,1.54,11.61
2,-113.7838,48.8428,8145.0,August,2.38,41.6,50.5,59.5,34.8,3.47,11.87
2,-113.7838,48.8428,8145.0,September,3.75,34.5,42.8,51.1,28.9,2.50,8.32
2,-113.7838,48.8428,8145.0,October,5.12,25.4,31.7,38.0,20.5,1.50,4.25
2,-113.7838,48.8428,8145.0,November,8.37,15.8,21.6,27.3,11.3,0.97,2.59
2,-113.7838,48.8428,8145.0,December,7.94,9.9,15.3,20.8,6.3,0.68,1.80
2,-113.7838,48.8428,8145.0,Annual,68.53,23.9,31.4,39.0,19.7,1.38,5.52

3,-114.1541,48.9056,7021.0,January,8.43,12.4,18.3,24.2,8.6,0.80,2.26
3,-114.1541,48.9056,7021.0,February,6.39,12.6,19.8,26.9,9.6,0.62,2.67
3,-114.1541,48.9056,7021.0,March,6.40,15.9,24.4,32.9,12.6,0.83,3.90
3,-114.1541,48.9056,7021.0,April,5.26,21.6,30.7,39.7,18.3,0.87,5.38
3,-114.1541,48.9056,7021.0,May,5.49,28.8,38.5,48.2,25.2,1.31,7.67
3,-114.1541,48.9056,7021.0,June,6.56,34.9,44.6,54.3,31.5,1.66,9.33
3,-114.1541,48.9056,7021.0,July,2.90,41.9,52.6,63.2,37.4,2.77,13.29
3,-114.1541,48.9056,7021.0,August,2.53,41.4,52.2,63.0,36.8,2.79,13.72
3,-114.1541,48.9056,7021.0,September,3.97,34.7,44.3,53.9,30.4,1.90,9.60
3,-114.1541,48.9056,7021.0,October,5.42,26.7,33.7,40.7,22.8,1.35,4.85
3,-114.1541,48.9056,7021.0,November,8.70,17.7,23.3,28.8,14.4,0.79,2.47
3,-114.1541,48.9056,7021.0,December,7.81,11.4,17.0,22.6,8.0,0.72,1.89
3,-114.1541,48.9056,7021.0,Annual,69.87,25.0,33.3,41.5,21.3,1.37,6.42

4,-113.6681,48.5938,7627.0,January,11.90,12.1,17.9,23.7,7.5,0.84,2.20
4,-113.6681,48.5938,7627.0,February,9.27,12.3,19.2,26.2,7.8,0.89,2.75
4,-113.6681,48.5938,7627.0,March,9.22,15.4,23.7,32.0,10.8,0.96,3.86
4,-113.6681,48.5938,7627.0,April,7.68,20.7,29.5,38.3,18.7,0.67,4.78
4,-113.6681,48.5938,7627.0,May,7.72,27.9,37.3,46.7,25.4,1.11,6.74
4,-113.6681,48.5938,7627.0,June,9.03,34.0,43.4,52.8,28.7,2.11,8.89
4,-113.6681,48.5938,7627.0,July,3.94,41.4,51.7,62.0,35.4,2.50,12.68
4,-113.6681,48.5938,7627.0,August,3.56,41.3,51.4,61.5,35.1,2.51,12.93
4,-113.6681,48.5938,7627.0,September,5.41,34.5,43.3,52.1,28.8,2.14,8.82
4,-113.6681,48.5938,7627.0,October,7.14,26.0,32.6,39.1,20.2,1.56,4.70
4,-113.6681,48.5938,7627.0,November,11.87,16.9,22.4,27.9,11.7,1.06,2.73
4,-113.6681,48.5938,7627.0,December,11.16,11.0,16.5,22.0,6.3,0.80,2.00
4,-113.6681,48.5938,7627.0,Annual,97.90,24.5,32.4,40.4,19.7,1.43,6.09

5,-114.0879,48.9575,7562.0,January,10.11,12.2,18.0,23.8,9.8,0.68,1.96
5,-114.0879,48.9575,7562.0,February,6.80,12.4,19.4,26.4,10.5,0.59,2.53
5,-114.0879,48.9575,7562.0,March,7.35,15.4,23.7,32.0,13.1,0.72,3.71
5,-114.0879,48.9575,7562.0,April,6.04,20.7,29.1,37.5,17.6,0.86,4.98
5,-114.0879,48.9575,7562.0,May,6.01,27.9,36.9,46.0,24.3,1.33,7.01
5,-114.0879,48.9575,7562.0,June,7.29,34.0,43.1,52.2,30.8,1.65,8.75
5,-114.0879,48.9575,7562.0,July,3.05,41.3,51.2,61.2,36.3,2.91,12.01
5,-114.0879,48.9575,7562.0,August,2.62,41.0,51.0,60.9,36.2,2.94,12.57
5,-114.0879,48.9575,7562.0,September,4.20,34.3,43.2,52.1,29.9,2.09,8.82
5,-114.0879,48.9575,7562.0,October,6.01,26.0,32.4,38.8,22.6,1.24,4.42
5,-114.0879,48.9575,7562.0,November,9.99,17.1,22.5,28.0,14.6,0.78,2.33
5,-114.0879,48.9575,7562.0,December,8.17,11.1,16.6,22.2,8.7,0.63,1.73
5,-114.0879,48.9575,7562.0,Annual,77.64,24.5,32.3,40.1,21.2,1.37,5.90

6,-114.0498,48.8902,7532.0,January,10.38,13.0,18.8,24.6,9.7,0.77,2.17
6,-114.0498,48.8902,7532.0,February,7.31,13.0,20.1,27.2,9.9,0.45,2.67
6,-114.0498,48.8902,7532.0,March,7.35,16.0,24.4,32.9,12.6,0.72,3.88
6,-114.0498,48.8902,7532.0,April,5.97,21.1,29.7,38.3,17.3,0.86,5.07
6,-114.0498,48.8902,7532.0,May,5.80,28.3,37.5,46.8,24.4,1.36,7.19
6,-114.0498,48.8902,7532.0,June,7.03,34.3,43.5,52.7,30.2,1.70,8.69
6,-114.0498,48.8902,7532.0,July,2.95,41.7,51.7,61.7,36.2,3.19,11.86
