Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1,-114.1578,48.9339,6617,1966-01,16.46,6.7,12.7,18.6,8.2,0.07,1.26
1,-114.1578,48.9339,6617,1966-02,7.59,10.9,18,25.1,8.8,0.37,2.33
1,-114.1578,48.9339,6617,1966-03,9.41,16,24.3,32.6,7.8,1,4.12
1,-114.1578,48.9339,6617,1966-04,5.54,19.3,28.7,38.1,14.2,0.76,5.19
1,-114.1578,48.9339,6617,1966-05,4.54,32,42.5,53,23.2,1.65,9.89
1,-114.1578,48.9339,6617,1966-06,8.73,34.1,43.7,53.4,28.6,1.21,8.86
1,-114.1578,48.9339,6617,1966-07,2.95,43.1,54.2,65.3,36,2,14.53
1,-114.1578,48.9339,6617,1966-08,2.9,40.1,51.6,63.1,32.4,2.03,14.04
1,-114.1578,48.9339,6617,1966-09,0.97,40.6,51.1,61.5,35.6,1.43,12.02
1,-114.1578,48.9339,6617,1966-10,6.1,27.4,34.7,42,22.3,0.96,5.14
1,-114.1578,48.9339,6617,1966-11,16.7,17,23.1,29.2,17.3,0.18,2.16
1,-114.1578,48.9339,6617,1966-12,13.4,15.3,20.7,26.1,14,0.31,1.88
1,-114.1578,48.9339,6617,1967-01,22.78,11.8,17.8,23.7,11.2,0.2,1.8
1,-114.1578,48.9339,6617,1967-02,13.01,14.5,21.1,27.8,10.3,0.6,2.71
1,-114.1578,48.9339,6617,1967-03,9.11,11.3,18.8,26.4,9.8,0.26,2.52
1,-114.1578,48.9339,6617,1967-04,8.31,18.4,26.5,34.7,14.7,0.57,3.97
1,-114.1578,48.9339,6617,1967-05,3.94,27.8,37.8,47.7,22.5,0.96,7.39
1,-114.1578,48.9339,6617,1967-06,6.22,35.5,45.8,56.1,33.4,0.56,9.27
1,-114.1578,48.9339,6617,1967-07,0.4,43.4,55.9,68.4,33.9,2.56,17.73
1,-114.1578,48.9339,6617,1967-08,0.53,45.1,58.2,71.2,34.6,2.97,19.94
1,-114.1578,48.9339,6617,1967-09,1.35,41.8,53.9,65.9,33.2,2.34,16.09
1,-114.1578,48.9339,6617,1967-10,15.09,28.3,35.1,42,24,0.88,4.8
1,-114.1578,48.9339,6617,1967-11,7.53,18.9,24.9,30.9,13.9,0.75,3.02
1,-114.1578,48.9339,6617,1967-12,13.03,8.9,14.6,20.2,9.2,0.2,1.37
1,-114.1578,48.9339,6617,1968-01,13.24,8.8,15.1,21.3,8.1,0.23,1.69
1,-114.1578,48.9339,6617,1968-02,10.78,18,25.3,32.5,16,0.4,3.09
1,-114.1578,48.9339,6617,1968-03,7.6,20.6,28.6,36.6,13.4,1.07,4.67
1,-114.1578,48.9339,6617,1968-04,5.1,18.9,27.7,36.6,14.3,0.64,4.58
1,-114.1578,48.9339,6617,1968-05,6.05,27.9,38.1,48.3,22.7,0.97,7.68
1,-114.1578,48.9339,6617,1968-06,6.93,34.3,44.3,54.3,29.9,1,9.23
1,-114.1578,48.9339,6617,1968-07,2.4,42,53.3,64.7,36.5,1.53,13.97
1,-114.1578,48.9339,6617,1968-08,3.72,39.2,49.5,59.8,36.3,0.85,10.62
1,-114.1578,48.9339,6617,1968-09,8.9,35.7,44.8,53.9,33.9,0.56,7.82
1,-114.1578,48.9339,6617,1968-10,11.96,27.2,33.8,40.4,22.1,0.95,4.58
1,-114.1578,48.9339,6617,1968-11,6.95,18.4,24.1,29.8,13.7,0.71,2.75
1,-114.1578,48.9339,6617,1968-12,15.48,4.3,10.4,16.5,4.4,0.2,1.3
1,-114.1578,48.9339,6617,1969-01,25.1,-3.6,3.2,9.9,0.9,0.03,0.73
1,-114.1578,48.9339,6617,1969-02,3.16,9.8,17.2,24.6,9.4,0.21,2.11
1,-114.1578,48.9339,6617,1969-03,4.6,14.5,23.4,32.4,6.9,0.83,4.17
1,-114.1578,48.9339,6617,1969-04,3.96,27.1,36.2,45.2,22.5,0.91,6.41
1,-114.1578,48.9339,6617,1969-05,3.6,31.8,42.5,53.2,23.2,1.66,9.89
1,-114.1578,48.9339,6617,1969-06,14.06,37.3,47,56.7,32.8,1.17,9.8
1,-114.1578,48.9339,6617,1969-07,0.51,40,51.6,63.2,34,1.53,13.7
1,-114.1578,48.9339,6617,1969-08,0.02,42.5,55,67.5,31.4,2.96,17.64
1,-114.1578,48.9339,6617,1969-09,4.3,36.7,46.9,57.1,32.7,0.96,10.04
1,-114.1578,48.9339,6617,1969-10,4.6,23.7,30.2,36.6,20.9,0.6,3.63
1,-114.1578,48.9339,6617,1969-11,3.9,21.6,27.6,33.5,17.6,0.74,3.14
1,-114.1578,48.9339,6617,1969-12,7.55,15.4,20.6,25.9,12.1,0.54,1.96
1,-114.1578,48.9339,6617,1970-01,20.23,5.5,11.9,18.3,7.6,0.05,1.24
1,-114.1578,48.9339,6617,1970-02,11.64,17.1,24,30.9,13.4,0.59,3.05
1,-114.1578,48.9339,6617,1970-03,8.51,11.8,20,28.3,11,0.2,2.82
1,-114.1578,48.9339,6617,1970-04,10.73,17.2,25.1,33.1,14.2,0.49,3.64
1,-114.1578,48.9339,6617,1970-05,3.49,30,40.5,50.9,23.8,1.22,8.65
1,-114.1578,48.9339,6617,1970-06,9.49,41.5,52.1,62.7,33.2,2.26,13.64
1,-114.1578,48.9339,6617,1970-07,2.1,44.8,56.2,67.6,38.3,2.04,15.65
1,-114.1578,48.9339,6617,1970-08,1.14,43.5,56.3,69,32.6,2.93,18.5
1,-114.1578,48.9339,6617,1970-09,3.58,30.7,40.4,50,27.9,0.63,7.43
1,-114.1578,48.9339,6617,1970-10,4.96,25.5,33,40.5,19.7,1.06,5.04
1,-114.1578,48.9339,6617,1970-11,12.05,15.3,22.1,28.9,14.4,0.25,2.52
1,-114.1578,48.9339,6617,1970-12,23.08,7.3,13.5,19.7,8.6,0.09,1.37
2,-113.7838,48.8428,6959,1966-01,15.33,5.4,11.7,18.1,7.7,0.05,1.21
2,-113.7838,48.8428,6959,1966-02,7.32,10.4,17.5,24.6,7.8,0.39,2.31
2,-113.7838,48.8428,6959,1966-03,8.42,15.6,24.2,32.8,6.8,1.04,4.25
2,-113.7838,48.8428,6959,1966-04,5.2,18,27.7,37.4,15.3,0.42,4.79
2,-113.7838,48.8428,6959,1966-05,4.46,31.2,41.6,52,23.7,1.4,9.22
2,-113.7838,48.8428,6959,1966-06,9.07,33,42.5,52,27.9,1.07,8.23
2,-113.7838,48.8428,6959,1966-07,2.68,42.6,53.3,64,34.2,2.23,14.02
2,-113.7838,48.8428,6959,1966-08,3.42,39.2,50.6,62.1,31.2,2.07,13.49
2,-113.7838,48.8428,6959,1966-09,1.31,40.4,50.6,60.8,34.5,1.63,11.69
2,-113.7838,48.8428,6959,1966-10,6.15,26.9,34.1,41.2,21,1.07,4.99
2,-113.7838,48.8428,6959,1966-11,15.98,16.1,22.3,28.4,16.8,0.16,2.05
2,-113.7838,48.8428,6959,1966-12,13.19,14.3,19.9,25.5,13.8,0.24,1.8
2,-113.7838,48.8428,6959,1967-01,20.92,10.8,16.7,22.5,11.6,0.13,1.54
2,-113.7838,48.8428,6959,1967-02,12.67,13.7,20.5,27.3,9.7,0.56,2.67
2,-113.7838,48.8428,6959,1967-03,8.55,9.6,18.1,26.6,9.4,0.12,2.6
2,-113.7838,48.8428,6959,1967-04,7.79,16.6,25.2,33.8,15.7,0.21,3.56
2,-113.7838,48.8428,6959,1967-05,3.76,26.4,36.6,46.8,23.1,0.61,6.86
2,-113.7838,48.8428,6959,1967-06,6.03,34.4,44.5,54.5,32.1,0.61,8.63
2,-113.7838,48.8428,6959,1967-07,0.27,43.3,54.9,66.6,33.1,2.71,16.39
2,-113.7838,48.8428,6959,1967-08,0.5,44.6,57.1,69.5,33.3,3.07,18.65
2,-113.7838,48.8428,6959,1967-09,1.33,41.4,53,64.6,32.7,2.32,15.06
2,-113.7838,48.8428,6959,1967-10,11.49,26.6,33.7,40.8,23,0.72,4.5
2,-113.7838,48.8428,6959,1967-11,7.2,18.3,24.4,30.5,12.8,0.77,3.02
2,-113.7838,48.8428,6959,1967-12,11.21,7.3,13.2,19.2,8.5,0.17,1.28
2,-113.7838,48.8428,6959,1968-01,9.88,8.4,14.9,21.4,8.7,0.17,1.63
2,-113.7838,48.8428,6959,1968-02,8.32,17.5,25.1,32.6,15.7,0.39,3.13
2,-113.7838,48.8428,6959,1968-03,6.07,19.8,28,36.2,13.1,0.99,4.6
2,-113.7838,48.8428,6959,1968-04,5.21,17.9,26.9,36,15.1,0.42,4.28
2,-113.7838,48.8428,6959,1968-05,5.95,26.3,36.3,46.3,23.3,0.57,6.65
2,-113.7838,48.8428,6959,1968-06,5.8,33.4,42.7,52,29,0.98,8.11
2,-113.7838,48.8428,6959,1968-07,2.5,41.4,51.8,62.3,35.2,1.66,12.52
2,-113.7838,48.8428,6959,1968-08,3.11,37.7,48,58.2,35.1,0.72,9.88
2,-113.7838,48.8428,6959,1968-09,8,35.4,44,52.7,32.9,0.69,7.36
2,-113.7838,48.8428,6959,1968-10,11.31,26.2,32.7,39.1,20.7,0.97,4.33
2,-113.7838,48.8428,6959,1968-11,5.37,17.3,23.3,29.3,12.5,0.7,2.75
2,-113.7838,48.8428,6959,1968-12,12.38,3.4,9.7,16,4.1,0.18,1.24
2,-113.7838,48.8428,6959,1969-01,20.76,-4.4,2.9,10.3,1.4,0.01,0.72
2,-113.7838,48.8428,6959,1969-02,2.98,9.9,17.3,24.8,9.2,0.23,2.13
2,-113.7838,48.8428,6959,1969-03,4.21,13.7,22.9,32.1,6.2,0.79,4.16
2,-113.7838,48.8428,6959,1969-04,3.3,26.8,35.4,44,23.2,0.74,5.71
2,-113.7838,48.8428,6959,1969-05,3.37,31.4,41.7,52.1,24,1.47,9.12
2,-113.7838,48.8428,6959,1969-06,11.49,36,45.7,55.3,32,1.02,9.22
2,-113.7838,48.8428,6959,1969-07,0.8,40.1,50.6,61.1,32.8,1.87,12.43
2,-113.7838,48.8428,6959,1969-08,0.23,43.5,54.7,65.8,30.3,3.5,16.37
2,-113.7838,48.8428,6959,1969-09,4.14,35.5,45.4,55.4,31.6,0.9,9.2
2,-113.7838,48.8428,6959,1969-10,4.17,22.1,28.8,35.4,20,0.4,3.38
2,-113.7838,48.8428,6959,1969-11,3.46,21.2,27.2,33.2,16.5,0.82,3.2
2,-113.7838,48.8428,6959,1969-12,7.56,15.5,21,26.6,11.4,0.64,2.18
2,-113.7838,48.8428,6959,1970-01,16.1,5.3,11.9,18.4,7.9,0.01,1.21
2,-113.7838,48.8428,6959,1970-02,9.61,16.7,24,31.3,12.5,0.63,3.23
2,-113.7838,48.8428,6959,1970-03,9.08,10.3,19.1,28,10.3,0.08,2.81
2,-113.7838,48.8428,6959,1970-04,9.67,15.2,23.8,32.5,14.4,0.18,3.41
2,-113.7838,48.8428,6959,1970-05,3.87,28.9,39.5,50.1,24.7,0.79,8.05
2,-113.7838,48.8428,6959,1970-06,8.17,40.8,51.1,61.5,32.3,2.22,12.87
2,-113.7838,48.8428,6959,1970-07,1.98,44.2,55.3,66.3,36.9,2.21,14.96
2,-113.7838,48.8428,6959,1970-08,1.27,43.8,55.6,67.4,31.3,3.32,17.35
2,-113.7838,48.8428,6959,1970-09,4.45,29.9,39.6,49.3,26.8,0.65,7.25
2,-113.7838,48.8428,6959,1970-10,3.21,25.3,32.5,39.6,18,1.29,4.93
2,-113.7838,48.8428,6959,1970-11,12.61,15.3,21.8,28.3,13.7,0.34,2.43
2,-113.7838,48.8428,6959,1970-12,18.97,6.6,12.6,18.6,8.2,0.06,1.22
3,-114.1541,48.9056,6396,1966-01,15.82,7.2,13.2,19.2,8.4,0.1,1.33
3,-114.1541,48.9056,6396,1966-02,7.24,11.2,18.5,25.9,9.2,0.36,2.44
3,-114.1541,48.9056,6396,1966-03,9.02,16.2,24.8,33.4,8.3,0.99,4.29
3,-114.1541,48.9056,6396,1966-04,5.19,19.8,29.5,39.2,14.5,0.81,5.54
3,-114.1541,48.9056,6396,1966-05,4.39,32.2,43.1,54.1,23.4,1.66,10.56
3,-114.1541,48.9056,6396,1966-06,8.49,34.3,44.3,54.3,29.2,1.14,9.26
3,-114.1541,48.9056,6396,1966-07,2.8,42.9,54.7,66.5,36.5,1.82,15.43
