PRISM Time Series Data
Locations: 39
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1986-01 - 2000-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Feb-14
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1,-114.1578,48.9339,6617.0,1986-01,9.40,17.8,23.5,29.2,8.9,1.05,2.86
1,-114.1578,48.9339,6617.0,1986-02,13.50,9.6,16.5,23.5,6.1,0.37,2.01
1,-114.1578,48.9339,6617.0,1986-03,6.54,23.4,31.3,39.1,14.4,0.91,4.69
1,-114.1578,48.9339,6617.0,1986-04,6.06,21.9,30.9,40.0,17.3,0.71,5.01
1,-114.1578,48.9339,6617.0,1986-05,5.96,30.1,40.2,50.2,26.0,1.06,8.10
1,-114.1578,48.9339,6617.0,1986-06,3.67,39.5,50.8,62.2,32.6,1.84,13.80
1,-114.1578,48.9339,6617.0,1986-07,4.30,39.6,49.2,58.8,33.3,1.45,9.99
1,-114.1578,48.9339,6617.0,1986-08,1.35,42.9,55.5,68.2,34.3,2.36,17.04
1,-114.1578,48.9339,6617.0,1986-09,7.50,31.8,38.1,44.3,31.3,0.29,4.66
1,-114.1578,48.9339,6617.0,1986-10,4.72,29.5,39.3,49.0,22.7,1.37,7.74
1,-114.1578,48.9339,6617.0,1986-11,13.79,12.3,18.3,24.2,11.0,0.30,1.51
1,-114.1578,48.9339,6617.0,1986-12,4.45,14.9,20.2,25.4,7.1,0.80,2.28
1,-114.1578,48.9339,6617.0,1987-01,4.42,11.0,17.1,23.2,4.9,0.59,2.07
1,-114.1578,48.9339,6617.0,1987-02,5.32,14.9,22.5,30.0,9.1,0.60,3.15
1,-114.1578,48.9339,6617.0,1987-03,10.93,16.7,24.4,32.1,14.5,0.38,3.21
