GLACNAME,num,P_TYPE,P1_YR_L,P1_ATTR_L,P2_YR_R,P2_ATTR_R,P_S1,P_S2,P3_YR_L,P3_ATTR_L,P4_YR_R,P4_ATTR_R,P_S3,P5_YR_R,P5_ATTR_R,P_S5
Agassiz Glacier,1,1,1913,W.C. Alden / USGS Photographic Library,2005,Greg Pederson / USGS,photos/Agassiz1.jpg,photos/Agassiz2.jpg,,,,,,,,
Ahern Glacier,2,3,,,,,,,1911,T.W. Stanton / USGS Photographic Library,2009,"Departments of Geology and Geography, Portland State University",photos/Ahern3.jpg,,,
Baby Glacier,3,5,,,,,,,,,,,,2009,"Departments of Geology and Geography, Portland State University",photos/Baby5.jpg
Blackfoot Glacier,4,1,1914,E.C. Stebinger / GNP Archives,2009,Lisa McKeon / USGS,photos/Blackfoot1.jpg,photos/Blackfoot2.jpg,,,,,,,,
Boulder Glacier,5,1,1913,W.C. Alden / USGS Photographic Library,2012,Kevin Jacks / USGS,photos/Boulder1.jpg,photos/Boulder2.jpg,,,,,,,,
Carter Glacier,6,5,,,,,,,,,,,,2009,"Departments of Geology and Geography, Portland State University",photos/Carter5.jpg
Chaney Glacier,7,1,1911,M.R. Campbell / USGS Photographic Library,2005,Blase Reardon / USGS,photos/Chaney1.jpg,photos/Chaney2.jpg,,,,,,,,
Dixon Glacier,8,3,,,,,,,1969,"Departments of Geology and Geography, Portland State University",2009,"Departments of Geology and Geography, Portland State University",photos/Dixon3.jpg,,,
Gem Glacier,9,5,,,,,,,,,,,,2009,"Departments of Geology and Geography, Portland State University",photos/Gem5.jpg
Grant Glacier,10,1,1902,M. Elrod / GNP Archives,1998,Karen Holzer / USGS,photos/Grant1.jpg,photos/Grant2.jpg,,,,,,,,
Grinnell Glacier,11,1,1914,Marble / GNP Archives,2008,Lisa McKeon / USGS,photos/Grinnell1.jpg,photos/Grinnell2.jpg,,,,,,,,
Harris Glacier,12,5,,,,,,,,,,,,2009,"Departments of Geology and Geography, Portland State University",photos/Harris5.jpg
Harrison Glacier,13,1,1913,W.C. Alden / USGS Photographic Library,2009,Ralph Thorton,photos/Harrison1.jpg,photos/Harrison2.jpg,,,,,,,,
Herbst Glacier,14,5,,,,,,,,,,,,2009,"Departments of Geology and Geography, Portland State University",photos/Herbst5.jpg
Hudson Glacier,15,5,,,,,,,,,,,,2006,Wikimedia Commons,photos/Hudson5.jpg
Ipasha Glacier,16,3,,,,,,,1961,"Departments of Geology and Geography, Portland State University",2009,"Departments of Geology and Geography, Portland State University",photos/Ipasha3.jpg,,,
